"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"R065","R","Richmond Parkway","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Staten Island Sector 2.2B","Districts 2, 2B",1252.9333,1884.95,41,34,36,102,701,535,569,1696,6.7,6.8,6.5,6.8,"No","No","No","No",39918,24227,17637,15472
"X039","X","Pelham Bay Park","Large Park","Athletic Facilities,Beaches,Comfort Stations,Natural Areas,Playgrounds,Trails","Bronx Sector 15.15A","Districts 15, 15A",1127.1024,2771.75,678,365,360,648,10486,5629,5473,10469,6.8,6.8,6.7,6.5,"Yes","Yes","Yes","Yes",37827,21526,18733,63765
"X092","X","Van Cortlandt Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Bronx Sector 13","District 13",799.3017,1146.43,217,226,339,523,3271,3626,5662,8924,6.6,6.6,6.9,6.8,"Yes","Yes","Yes","Yes",32815,19944,81779,65711
"M010","M","Central Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Manhattan Sector 13","District 13",702.9679,840.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130972,121402,123966,168177
"Q099","Q","Flushing Meadows Corona Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 15","District 15",523.64,897.69,582,486,451,630,9176,7552,7237,10410,6.8,7,7,6.8,"Yes","Yes","Yes","Yes",425619,357702,386109,259913
"Q001","Q","Alley Pond Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 7A","District 7A",523.4291,665.49,171,181,213,500,3058,3341,3922,8228,6.6,6.8,6.8,6.8,"Yes","Yes","Yes","Yes",9639,9447,5344,13877
"B073","B","Prospect Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Brooklyn Sector 14.19","Districts 14, 19",420.2202,540.51,814,630,523,793,10367,7899,6927,10921,6.8,7,7,6.8,"Yes","Yes","Yes","Yes",219119,274329,287915,250533
"Q015","Q","Forest Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 5A.16","Districts 5A, 16",408.5944,506.86,1638,1541,1393,1742,20979,23014,20814,25056,6.2,6.8,6.7,6.6,"Yes","Yes","Yes","Yes",46935,31826,34012,30878
"Q021","Q","Cunningham Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 8.9","Districts 8, 9",388.889,358,60,88,82,202,1072,1522,1506,3486,5.9,6.8,6.7,6.7,"No","Yes","Yes","Yes",32260,20086,9331,15693
"Q162","Q","Rockaway Beach and Boardwalk","Large Park","Athletic Facilities,Beaches,Comfort Stations,Natural Areas,Playgrounds","Queens Sector 14","District 14",351.5687,1098.91,529,502,550,870,7743,7429,7131,13017,5.8,6.6,6.9,6.3,"Yes","Yes","Yes","Yes",37610,13551,14133,74849
"R172","R","Brookfield Park","Large Park","Natural Areas","Staten Island Sector 3","District 3",266.7697,258.72,73,72,60,113,1199,1146,912,1833,6.6,6.7,6.8,6.6,"No","Yes","No","Yes",2475,1413,3209,0
"R031","R","Wolfe's Pond Park","Large Park","Athletic Facilities,Beaches,Comfort Station,Natural Areas,Playgrounds","Staten Island Sector 3","District 3",259.9786,302.69,364,263,201,328,5892,4423,3471,5845,6.7,6.8,7,6.7,"Yes","Yes","Yes","Yes",8287,3771,2714,3442
"Q371","Q","Rockaway Community Park","Large Park","Athletic Facilities,Natural Areas,Playground","Queens Sector 14","District 14",255.4,255.4,8,6,7,9,126,97,104,148,3.8,4.5,4.8,4.5,"No","No","No","No",222,1802,175,1592
"R119","R","Blue Heron Park","Large Park","Natural Areas,Playground,Trails","Staten Island Sector 3","District 3",237.8868,217.45,3,4,3,4,47,71,48,70,5.7,5.9,5.5,6.2,"No","No","No","No",352,1025,1672,1415
"M071","M","Riverside Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Manhattan Sector 14","District 14",225.5647,291.19,844,797,1213,1052,10604,9464,12775,10957,5.6,5.8,5.7,5.7,"Yes","Yes","Yes","Yes",19413,21797,13828,30686
