"NAME","GEO_ID","S0101_C01_001E","S1901_C01_001E","S1901_C01_002E","S1901_C01_003E","S1901_C01_004E","S1901_C01_005E","S1901_C01_006E","S1901_C01_007E","S1901_C01_008E","S1901_C01_009E","S1901_C01_010E","S1901_C01_011E","S1901_C01_012E","S1901_C01_013E","ZCTA5","DP02_0087E","DP02_0093E","DP05_0070E","DP05_0077E","DP05_0077PE"
"ZCTA5 25303","8600000US25303",6764,2970,4,5.7,8.1,9.3,15.3,19,13.9,15.1,6.2,3.3,58820,75505,"25303",6764,258,6764,5605,82.9
"ZCTA5 25245","8600000US25245",600,294,10.9,0,10.9,19.7,6.5,31,5.8,6.8,8.5,0,57895,58628,"25245",600,0,600,600,100
"ZCTA5 25268","8600000US25268",964,354,13.6,9.9,14.1,21.8,5.6,9.3,15.8,4.8,5.1,0,27200,45206,"25268",964,31,964,957,99.3
"ZCTA5 25286","8600000US25286",1700,613,9.6,11.6,9.1,15.3,17.9,15,11.1,10.3,0,0,38313,47583,"25286",1700,0,1700,1598,94
"ZCTA5 25311","8600000US25311",10964,5088,12.7,10.4,10.8,10.3,14.6,18.8,10.2,6.5,1.9,3.8,40920,58121,"25311",10964,240,10964,8343,76.1
"ZCTA5 25419","8600000US25419",11062,4188,3,1.5,9.5,10,11.5,19.6,15.6,18.6,4.8,6,70019,85005,"25419",11062,288,11062,9668,87.4
"ZCTA5 25434","8600000US25434",2821,952,1.8,3.5,8.9,17.2,15,24.7,8,11.3,9.6,0,57339,68713,"25434",2821,21,2821,2573,91.2
"ZCTA5 25446","8600000US25446",1193,507,0,5.1,14.8,0,10.5,5.9,7.5,34.7,8.1,13.4,122557,112387,"25446",1193,62,1193,936,78.5
"ZCTA5 25106","8600000US25106",598,277,5.4,4,46.6,6.1,15.2,11.2,10.8,0.7,0,0,19922,35125,"25106",598,1,598,598,100
"ZCTA5 25501","8600000US25501",1198,489,3.3,4.3,14.3,10.6,25.4,16.4,17.2,8.6,0,0,49056,54339,"25501",1198,0,1198,1165,97.2
"ZCTA5 25507","8600000US25507",776,322,15.8,6.8,16.5,7.8,18.3,14.6,2.5,12.4,5.3,0,36923,51037,"25507",776,10,776,766,98.7
"ZCTA5 25515","8600000US25515",2042,863,7.8,7.5,11.2,7,21.1,16.3,10.8,9.5,7.9,0.9,46597,59315,"25515",2042,9,2042,2023,99.1
"ZCTA5 25520","8600000US25520",1497,514,8.8,5.6,9.7,7.8,0,37.7,11.7,18.7,0,0,60474,60723,"25520",1497,0,1497,1465,97.9
"ZCTA5 25535","8600000US25535",2796,847,4.1,4.6,2.7,7.3,11.6,32.3,8.1,16.2,2.6,10.4,62231,95719,"25535",2796,71,2796,2619,93.7
"ZCTA5 25564","8600000US25564",1174,436,3.9,0,22.9,4.6,2.1,33.5,12.8,15.1,0,5,63844,64901,"25564",1174,0,1174,1174,100
"ZCTA5 25601","8600000US25601",5565,2340,9.4,8.8,13.6,11.1,8.3,15.1,9.6,19,3.8,1.2,47973,62283,"25601",5565,28,5565,5210,93.6
"ZCTA5 25606","8600000US25606",1531,542,23.2,2.4,3.1,8.7,19.7,5.2,5.2,25.1,0,7.4,42679,74892,"25606",1531,0,1531,1451,94.8
"ZCTA5 25608","8600000US25608",1108,483,4.6,3.9,10.8,17,22.2,14.7,19.5,7.5,0,0,47589,54416,"25608",1108,19,1108,1089,98.3
"ZCTA5 25617","8600000US25617",706,311,5.1,15.4,19.9,25.1,24.8,5.8,2.6,1.3,0,0,32945,30623,"25617",706,0,706,704,99.7
"ZCTA5 25621","8600000US25621",1626,745,7.8,9,23.2,10.6,13.6,16.4,14,0.5,4.6,0.4,34583,47970,"25621",1626,0,1626,1626,100
"ZCTA5 25628","8600000US25628",193,114,14.9,0,13.2,29.8,7.9,9.6,0,24.6,0,0,31838,45929,"25628",193,0,193,193,100
"ZCTA5 25632","8600000US25632",374,219,24.2,17.8,33.3,0,6.4,0,3.7,0,14.6,0,17431,45223,"25632",374,0,374,351,93.9
"ZCTA5 25644","8600000US25644",282,113,24.8,22.1,14.2,16.8,0,0,0,22.1,0,0,20547,43482,"25644",282,0,282,282,100
"ZCTA5 25671","8600000US25671",1471,545,20.9,11.9,11,5,17.6,15.2,4.2,14.1,0,0,35602,43468,"25671",1471,0,1471,1471,100
"ZCTA5 25817","8600000US25817",708,264,0,15.9,7.6,9.1,11.7,28.4,20.1,7.2,0,0,55938,56364,"25817",708,0,708,673,95.1
"ZCTA5 25818","8600000US25818",457,238,21,0,20.2,0,29.8,0,21.8,7.1,0,0,36544,42228,"25818",457,0,457,457,100
"ZCTA5 25836","8600000US25836",394,133,0,41.4,0,58.6,0,0,0,0,0,0,NA,NA,"25836",394,0,394,394,100
"ZCTA5 25843","8600000US25843",1101,429,8.6,0,19.8,10,8.2,7.2,15.4,19.3,11.4,0,NA,72342,"25843",1101,0,1101,1101,100
"ZCTA5 25666","8600000US25666",544,223,15.7,7.2,15.2,22.4,4.5,35,0,0,0,0,30052,36173,"25666",544,0,544,544,100
"ZCTA5 25650","8600000US25650",215,111,0,9,27,26.1,13.5,11.7,12.6,0,0,0,28224,36277,"25650",215,0,215,215,100
"ZCTA5 26541","8600000US26541",2739,996,0,2.1,4,17.9,14.3,24.4,12.1,15.6,5.9,3.7,63176,76270,"26541",2739,0,2739,2667,97.4
"ZCTA5 26576","8600000US26576",616,270,11.1,10.7,15.9,4.4,9.6,5.9,13.7,18.5,0,10,NA,73760,"26576",616,0,616,573,93
"ZCTA5 26627","8600000US26627",344,151,27.8,0,37.1,14.6,0,10.6,0,0,0,9.9,16496,44162,"26627",344,0,344,344,100
"ZCTA5 26629","8600000US26629",307,146,0,6.8,0,7.5,31.5,42.5,11.6,0,0,0,51154,52050,"26629",307,0,307,271,88.3
"ZCTA5 26676","8600000US26676",400,138,0,0,0,10.9,28.3,49.3,11.6,0,0,0,58235,53136,"26676",400,0,400,400,100
"ZCTA5 26680","8600000US26680",338,106,0,16,40.6,0,19.8,15.1,0,8.5,0,0,NA,39618,"26680",338,0,338,338,100
"ZCTA5 26714","8600000US26714",422,176,13.6,10.8,20.5,0,29.5,11.9,0,0,0,13.6,NA,56915,"26714",422,0,422,422,100
"ZCTA5 26726","8600000US26726",12604,5073,9.8,4.3,10,9,20.9,19.6,12.7,10.8,2,1,47920,56948,"26726",12604,125,12604,11431,90.7
"ZCTA5 26731","8600000US26731",423,174,8,0,15.5,16.7,4.6,39.7,7.5,8,0,0,52833,48883,"26731",423,0,423,423,100
"ZCTA5 26753","8600000US26753",6049,2426,4.7,5.4,12,12.2,12.2,25.9,9.6,10.4,1.5,6.1,51927,66679,"26753",6049,51,6049,5967,98.6
